CNN,Street_Name,PCI_Score,From_Street,To_Street,PCI_Change_Date,Treatment_or_Survey,Street_Accepted_For_Maintenance,Functional_Class
259000,04TH ST,43,HARRISON ST \ I-80 W ON RAMP,PERRY ST,2009-08-10T15:43:09.000,Survey,No,
260000,04TH ST,46,PERRY ST,STILLMAN ST,2009-08-10T15:43:09.000,Survey,No,
261000,04TH ST,46,STILLMAN ST,BRYANT ST \ I-80 E OFF RAMP,2009-08-10T15:43:09.000,Survey,No,
267001,04TH ST,46,TOWNSEND ST,KING ST,2002-08-13T00:00:00.000,Survey,Yes,
270002,04TH ST,42,BERRY ST,CHANNEL ST,1997-09-08T00:00:00.000,Survey,Yes,
271000,04TH ST,74,CHANNEL ST,CHANNEL ST,2009-08-10T15:43:09.000,Survey,No,
300001,05TH ST,41,SHIPLEY ST,JENNIFER PL,2002-11-19T00:00:00.000,Survey,Yes,
300002,05TH ST,41,JENNIFER PL,SCOTT ALY,2002-11-19T00:00:00.000,Survey,Yes,
300003,05TH ST,41,SCOTT ALY,CLARA ST,2002-11-19T00:00:00.000,Survey,Yes,
302000,05TH ST,100,HARRISON ST \ I-80 W OFF RAMP,PERRY ST,2009-01-26T12:14:32.000,Treatment,No,
303000,05TH ST,100,PERRY ST,BRYANT ST \ I-80 E ON RAMP,2009-01-26T12:14:15.000,Treatment,No,
338000,06TH ST,71,HARRISON ST,AHERN WAY,2009-08-10T15:43:09.000,Survey,No,
339000,06TH ST,67,AHERN WAY,BRYANT ST,2009-08-10T15:43:09.000,Survey,No,
342000,06TH ST,67,BLUXOME ST,TOWNSEND ST,2008-10-29T13:59:27.000,Survey,No,
344000,06TH ST,11,KING ST,BERRY ST,1995-08-07T00:00:00.000,Survey,No,
357000,07TH AVE,100,LINCOLN WAY,MARTIN LUTHER KING JR DR,2008-10-29T13:59:27.000,Survey,No,
1998000,45th Ave,100,Lincoln Way,Irving St,2018-12-18T09:29:50.000,Treatment,Yes,Residential
374000,07TH ST,100,HARRISON ST,I-80 E OFF RAMP,2009-07-30T11:25:12.000,Treatment,No,
374001,07TH ST,100,I-80 E OFF RAMP,I-80 E OFF RAMP,2009-07-30T11:24:58.000,Treatment,No,
374002,07TH ST,100,I-80 E OFF RAMP,BRYANT ST,2009-08-10T15:43:09.000,Survey,No,
380001,07TH ST,65,CHANNEL ST,MISSION BAY DR,2010-12-23T13:37:36.000,Survey,Yes,
380002,07TH ST,65,MISSION BAY DR,HOOPER ST,2010-12-23T13:37:36.000,Survey,Yes,
384000,07TH ST,74,DAGGETT ST,16TH ST \ MISSISSIPPI ST,2009-08-10T15:43:09.000,Survey,No,
385000,07TH ST,69,16TH ST,PENNSYLVANIA AVE,2007-07-26T16:21:27.000,Survey,No,
394000,08TH AVE,100,FULTON ST,JOHN F KENNEDY DR,2008-10-29T13:59:27.000,Survey,No,
415000,08th St,100,Harrison St,I-80 W Off Ramp,2012-05-21T10:05:34.000,Treatment,No,
416000,08th St,100,Bryant St,Brannan St,2012-05-21T10:06:49.000,Treatment,No,
430000,09TH AVE,65,MARTIN LUTHER KING JR DR,LINCOLN WAY,2008-10-29T13:59:27.000,Survey,No,
444101,09TH AVE,100,09TH AVE,UNNAMED 031,2008-10-29T13:59:27.000,Survey,No,
444102,09TH AVE,100,UNNAMED 031,09TH AVE,2008-10-29T13:59:27.000,Survey,No,
444201,09TH AVE,100,09TH AVE,UNNAMED 030,2008-10-29T13:59:27.000,Survey,No,
444202,09TH AVE,83,UNNAMED 030,09TH AVE,2008-10-29T13:59:27.000,Survey,No,
461000,10TH AVE,61,END,LAKE ST,2008-10-29T13:59:27.000,Survey,No,
469000,10TH AVE,77,FULTON ST,JOHN F KENNEDY DR,2008-10-29T13:59:27.000,Survey,No,
12268001,SUNNYDALE AVE,34,END,END,2019-09-01T09:43:03.000,Survey,Yes,
20193000,Reuel Ct: Hudson Ave Intersection,100,REUEL CT,Intersection,2015-12-18T17:58:41.000,Treatment,No,
20188000,Whitney Young Cir: Hudson Ave Intersection,100,WHITNEY YOUNG CIR,Intersection,2015-12-18T18:00:52.000,Treatment,No,
20189000,Westbrook Ct: Hudson Ave Intersection,100,WESTBROOK CT,Intersection,2015-12-18T18:00:52.000,Treatment,No,
479000,10TH AVE,63,QUINTARA ST,MENDOSA AVE \ UNNAMED 030,2008-10-29T13:59:27.000,Survey,No,
517000,11TH ST,74,13TH ST \ BRYANT ST \ DIVISION ST,BRYANT ST \ DIVISION ST,2008-10-29T13:59:27.000,Survey,No,
8815000,Mason St,37,Dawson Pl \ Malvina Pl,Clay St,2019-10-26T09:34:37.000,Survey,Yes,Residential
2864002,BEALE ST,79,NATOMA ST,HOWARD ST,2019-08-30T14:58:36.000,Survey,Yes,
27422000,25th Ave: Irving St Intersection,100,IRVING ST,Intersection,2017-01-23T09:21:07.000,Treatment,No,
21636000,Athens St: Excelsior Ave Intersection,100,EXCELSIOR AVE,Intersection,2017-01-24T14:33:33.000,Treatment,No,
33032000,Division St: Utah St Intersection,100,UTAH ST,Intersection,2017-01-23T11:20:15.000,Treatment,No,
27434000,27th Ave: Irving St Intersection,100,IRVING ST,Intersection,2017-01-23T09:21:07.000,Treatment,No,
4562000,Cutler Ave,80,47th Ave,Great Hwy,2018-08-17T14:38:04.000,Survey,Yes,Residential
565000,14TH AVE,61,NORIEGA ST,ORTEGA ST,2008-10-29T13:59:27.000,Survey,No,
7016002,HOLYOKE ST,72,END,ANKENY ST,2019-10-20T09:29:12.000,Survey,Yes,
27417000,22nd Ave: Irving St Intersection,100,IRVING ST,Intersection,2017-01-23T09:21:07.000,Treatment,No,
21718000,Madrid St: Persia Ave Intersection,100,PERSIA AVE,Intersection,2017-01-24T14:33:34.000,Treatment,No,
2000000,45th Ave,100,Judah St,Kirkham St,2018-12-18T09:29:50.000,Treatment,Yes,Residential
6040103,Geary Blvd,50,Buchanan St,Zampa Ln,2019-10-13T09:28:31.000,Survey,Yes,Arterial
21635000,Athens St: Brazil Ave Intersection,100,BRAZIL AVE,Intersection,2017-01-24T14:33:34.000,Treatment,No,
2001000,45th Ave,100,Kirkham St,Lawton St,2018-12-18T09:29:50.000,Treatment,Yes,Residential
5868000,Front St,57,Pine St,California St,2019-09-29T09:26:07.000,Survey,Yes,Collector
27376000,21st Ave: Irving St Intersection,100,IRVING ST,Intersection,2017-01-23T09:21:07.000,Treatment,No,
3194000,Broderick St,80,Fulton St,Mcallister St,2019-08-25T09:20:53.000,Survey,Yes,Residential
11588101,SANTA RITA AVE,100,MESA AVE,SAN MARCOS AVE,2017-01-23T09:39:32.000,Treatment,Yes,
23880000,Division St: San Bruno Ave Intersection,100,SAN BRUNO AVE,Intersection,2017-01-23T11:20:15.000,Treatment,No,
4844000,Division St,100,09th St,Utah St,2017-01-23T11:20:15.000,Treatment,No,
4845000,Division St,100,Utah St,10th St \ Brannan St \ Potrero Ave,2017-01-23T11:20:16.000,Treatment,No,
27418000,23rd Ave: Irving St Intersection,100,IRVING ST,Intersection,2017-01-23T09:21:07.000,Treatment,No,
27433000,26th Ave: Irving St Intersection,100,IRVING ST,Intersection,2017-01-23T09:21:07.000,Treatment,No,
33614000,09th St: Division St Intersection,100,DIVISION ST,Intersection,2017-01-23T11:20:15.000,Treatment,No,
1417000,25th St,85,De Haro St,Rhode Island St,2019-10-27T09:18:59.000,Survey,Yes,Residential
1999000,45th Ave,100,Irving St,Judah St,2018-12-18T09:29:50.000,Treatment,Yes,Residential
27946000,45th Ave: Judah St Intersection,100,JUDAH ST,Intersection,2017-10-27T11:57:00.000,Treatment,No,
12453000,Taylor St,51,Macondray Ln,Union St,2019-10-13T09:43:43.000,Survey,Yes,Residential
13427000,Washington St,83,Priest St,Reed St,2019-10-05T09:46:20.000,Survey,Yes,Collector
27421000,24th Ave: Irving St Intersection,100,IRVING ST,Intersection,2017-01-23T09:21:07.000,Treatment,No,
8299000,Leland Ave,38,Schwerin St,Rey St,2019-09-01T09:33:16.000,Survey,Yes,Residential
806000,17th St,77,Sanchez St,Prosper St,2019-08-30T08:03:26.000,Survey,Yes,Collector
809000,17th St,77,Noe St,Hartford St,2019-08-30T08:03:28.000,Survey,Yes,Collector
642000,15TH ST,67,ALABAMA ST,TREAT AVE,2008-10-29T13:59:27.000,Survey,No,
696000,16TH ST,54,ILLINOIS ST,03RD ST,2008-10-29T13:59:27.000,Survey,No,
699001,16TH ST,67,OWENS ST,07TH ST \ MISSISSIPPI ST,2002-08-16T00:00:00.000,Survey,Yes,
772000,17TH ST,41,PENNSYLVANIA AVE,MISSISSIPPI ST,2009-08-10T15:43:09.000,Survey,No,
9040000,Minna St,83,02nd St,New Montgomery St,2019-08-30T16:51:33.000,Survey,Yes,Residential
852000,18TH ST,48,MINNESOTA ST,I-280 N ON RAMP,2009-08-10T15:43:09.000,Survey,No,
852001,18TH ST,100,I-280 N ON RAMP,I-280 S OFF RAMP,2009-08-10T15:43:09.000,Survey,No,
852002,18TH ST,52,I-280 S OFF RAMP,PENNSYLVANIA AVE,2009-08-10T15:43:09.000,Survey,No,
909101,19TH AVE E/S,34,CROSSOVER DR \ LINCOLN WAY,IRVING ST,2009-08-10T15:43:09.000,Survey,No,
909201,19TH AVE W/S,67,CROSSOVER DR \ LINCOLN WAY,IRVING ST,2009-08-10T15:43:09.000,Survey,No,
910101,19TH AVE E/S,45,IRVING ST,JUDAH ST,2009-08-10T15:43:09.000,Survey,No,
910201,19TH AVE W/S,71,IRVING ST,JUDAH ST,2009-08-10T15:43:09.000,Survey,No,
911101,19TH AVE E/S,36,JUDAH ST,KIRKHAM ST,2009-08-10T15:43:09.000,Survey,No,
911201,19TH AVE W/S,69,JUDAH ST,KIRKHAM ST,2009-08-10T15:43:09.000,Survey,No,
912101,19TH AVE E/S,36,KIRKHAM ST,LAWTON ST,2009-08-10T15:43:09.000,Survey,No,
912201,19TH AVE W/S,69,KIRKHAM ST,LAWTON ST,2009-08-10T15:43:09.000,Survey,No,
913101,19TH AVE E/S,36,LAWTON ST,MORAGA ST,2009-08-10T15:43:09.000,Survey,No,
913201,19TH AVE W/S,67,LAWTON ST,MORAGA ST,2009-08-10T15:43:09.000,Survey,No,
914101,19TH AVE E/S,38,MORAGA ST,NORIEGA ST,2009-08-10T15:43:09.000,Survey,No,
914201,19TH AVE W/S,74,MORAGA ST,NORIEGA ST,2009-08-10T15:43:09.000,Survey,No,
915101,19TH AVE E/S,50,NORIEGA ST,ORTEGA ST,2009-08-10T15:43:09.000,Survey,No,
915201,19TH AVE W/S,74,NORIEGA ST,ORTEGA ST,2009-08-10T15:43:09.000,Survey,No,
916101,19TH AVE E/S,50,ORTEGA ST,PACHECO ST,2009-08-10T15:43:09.000,Survey,No,
916201,19TH AVE W/S,74,ORTEGA ST,PACHECO ST,2009-08-10T15:43:09.000,Survey,No,
917101,19TH AVE E/S,50,PACHECO ST,QUINTARA ST,2009-08-10T15:43:09.000,Survey,No,
917201,19TH AVE W/S,74,PACHECO ST,QUINTARA ST,2009-08-10T15:43:09.000,Survey,No,
918101,19TH AVE E/S,50,QUINTARA ST,RIVERA ST,2009-08-10T15:43:09.000,Survey,No,
918201,19TH AVE W/S,69,QUINTARA ST,RIVERA ST,2009-08-10T15:43:09.000,Survey,No,
919101,19TH AVE E/S,45,RIVERA ST,SANTIAGO ST,2009-08-10T15:43:09.000,Survey,No,
919201,19TH AVE W/S,67,RIVERA ST,SANTIAGO ST,2009-08-10T15:43:09.000,Survey,No,
920101,19TH AVE E/S,36,SANTIAGO ST,TARAVAL ST,2009-08-10T15:43:09.000,Survey,No,
920201,19TH AVE W/S,67,SANTIAGO ST,TARAVAL ST,2009-08-10T15:43:09.000,Survey,No,
921101,19TH AVE E/S,45,TARAVAL ST,ULLOA ST,2009-08-10T15:43:09.000,Survey,No,
921201,19TH AVE W/S,71,TARAVAL ST,ULLOA ST,2009-08-10T15:43:09.000,Survey,No,
922101,19TH AVE E/S,36,ULLOA ST,VICENTE ST,2009-08-10T15:43:09.000,Survey,No,
922201,19TH AVE W/S,74,ULLOA ST,VICENTE ST,2009-08-10T15:43:09.000,Survey,No,
923101,19TH AVE E/S,43,VICENTE ST,WAWONA ST,2009-08-10T15:43:09.000,Survey,No,
923201,19TH AVE W/S,69,VICENTE ST,WAWONA ST,2009-08-10T15:43:09.000,Survey,No,
924102,19TH AVE,36,WAWONA ST,STERN GROVE CT,2005-11-16T16:50:06.000,Survey,No,
924102,19TH AVE,57,WAWONA ST,STERN GROVE CT,2002-08-06T00:00:00.000,Survey,No,
924103,19TH AVE,36,STERN GROVE CT,SLOAT BLVD,2005-11-16T16:50:06.000,Survey,No,
924103,19TH AVE,57,STERN GROVE CT,SLOAT BLVD,2002-08-06T00:00:00.000,Survey,No,
924201,19TH AVE W/S,71,WAWONA ST,SLOAT BLVD,2009-08-10T15:43:09.000,Survey,No,
925101,19TH AVE E/S,74,SLOAT BLVD,OCEAN AVE,2009-08-10T15:43:09.000,Survey,No,
925201,19TH AVE W/S,74,SLOAT BLVD,OCEAN AVE,2009-08-10T15:43:09.000,Survey,No,
926101,19TH AVE E/S,74,OCEAN AVE,EUCALYPTUS DR,2009-08-10T15:43:09.000,Survey,No,
926201,19TH AVE W/S,74,OCEAN AVE,EUCALYPTUS DR,2009-08-10T15:43:09.000,Survey,No,
927101,19TH AVE E/S,74,EUCALYPTUS DR,ROSSMOOR DR,2009-08-10T15:43:09.000,Survey,No,
927102,19TH AVE E/S,69,ROSSMOOR DR,WINSTON DR,2009-08-10T15:43:09.000,Survey,No,
927201,19TH AVE W/S,69,EUCALYPTUS DR,WINSTON DR,2009-08-10T15:43:09.000,Survey,No,
927202,19TH AVE W/S,74,WINSTON DR,WINSTON DR,2009-08-10T15:43:09.000,Survey,No,
928101,19TH AVE E/S,67,WINSTON DR,DENSLOWE DR,2009-08-10T15:43:09.000,Survey,No,
928102,19TH AVE E/S,67,DENSLOWE DR,WYTON LN,2009-08-10T15:43:09.000,Survey,No,
928103,19TH AVE E/S,67,WYTON LN,HOLLOWAY AVE,2009-08-10T15:43:09.000,Survey,No,
928201,19TH AVE W/S,74,WINSTON DR,BUCKINGHAM WAY,2009-08-10T15:43:09.000,Survey,No,
928202,19TH AVE W/S,67,BUCKINGHAM WAY,HOLLOWAY AVE,2009-08-10T15:43:09.000,Survey,No,
929101,19TH AVE E/S,38,HOLLOWAY AVE,CRESPI DR,2009-08-10T15:43:09.000,Survey,No,
929201,19TH AVE W/S,67,HOLLOWAY AVE,CRESPI DR,2009-08-10T15:43:09.000,Survey,No,
930101,19TH AVE E/S,50,CRESPI DR,BANBURY DR,2009-08-10T15:43:09.000,Survey,No,
930102,19TH AVE E/S,45,BANBURY DR,JUNIPERO SERRA BLVD,2009-08-10T15:43:09.000,Survey,No,
930201,19TH AVE W/S,71,CRESPI DR,UNNAMED 106,2009-08-10T15:43:09.000,Survey,No,
930202,19TH AVE W/S,74,UNNAMED 106,JUNIPERO SERRA BLVD,2009-08-10T15:43:09.000,Survey,No,
940000,19TH ST,74,INDIANA ST,END,2008-10-29T13:59:27.000,Survey,No,
1022000,20TH AVE,100,EUCALYPTUS DR,BUCKINGHAM WAY \ WINSTON DR,2009-08-10T15:43:09.000,Survey,No,
1023000,20TH ST,48,20TH ST,UNNAMED 042,2008-10-29T13:59:27.000,Survey,No,
1024000,20TH ST,46,UNNAMED 042,MICHIGAN ST,2008-10-29T13:59:27.000,Survey,No,
1025000,20TH ST,46,MICHIGAN ST,ILLINOIS ST,2008-10-29T13:59:27.000,Survey,No,
1028000,20TH ST,39,TENNESSEE ST,MINNESOTA ST,2008-10-29T13:59:27.000,Survey,No,
1029000,20TH ST,11,MINNESOTA ST,INDIANA ST,2008-10-29T13:59:27.000,Survey,No,
1030000,20TH ST,65,TENNESSEE ST,PENNSYLVANIA AVE,2008-10-29T13:59:27.000,Survey,No,
1063000,20TH ST,100,SANCHEZ ST,20TH ST,2004-03-08T16:24:09.000,Treatment,No,
27855000,32nd Ave: Clement St Intersection,100,CLEMENT ST,Intersection,2018-12-21T16:25:13.000,Treatment,No,
6536000,Griffith St,8,La Salle Ave \ Navy Rd,Oakdale Ave,2016-10-03T12:54:41.000,Survey,Yes,
12579201,THOMAS MELLON DR,85,END,END,2016-10-04T13:09:01.000,Survey,Yes,
8300000,Leland Ave,49,Rey St,Elliot St,2019-09-01T09:33:16.000,Survey,Yes,Residential
1038000,20th St,81,Carolina St \ Jack Balestreri Way,De Haro St,2019-10-27T09:18:39.000,Survey,Yes,Residential
12579101,THOMAS MELLON DR,98,END,END,2016-10-04T13:09:02.000,Survey,Yes,
13234000,Vesta St,83,Ledyard St \ Thornton Ave,Phelps St \ Williams Ave,2019-10-12T09:45:49.000,Survey,Yes,Residential
706000,16th St,48,08th St,Wisconsin St,2019-10-27T09:17:58.000,Survey,Yes,Arterial
1156000,22ND ST,48,22ND ST,MICHIGAN ST,2008-10-29T13:59:27.000,Survey,No,
1157000,22ND ST,36,MICHIGAN ST,ILLINOIS ST,2008-10-29T13:59:27.000,Survey,No,
8749101,Market St,72,Mason St \ Turk St,06th St \ Golden Gate Ave \ Taylor St,2019-08-30T16:51:32.000,Survey,Yes,Arterial
6494000,Greenwich St,72,Stockton St,Brant Aly,2019-10-26T09:28:11.000,Survey,Yes,Residential
1166000,22ND ST,100,MISSOURI ST,CONNECTICUT ST,2009-08-10T15:43:09.000,Survey,No,
1168000,22ND ST,41,ARKANSAS ST,WISCONSIN ST,2009-08-10T15:43:09.000,Survey,No,
27375000,20th Ave: Irving St Intersection,100,IRVING ST,Intersection,2017-01-31T12:48:31.000,Treatment,No,
24564000,01ST ST,100,END,Intersection,2001-05-09T00:00:00.000,Treatment,No,
24530000,01ST ST,100,END,Intersection,2001-05-09T00:00:00.000,Treatment,No,
6553000,Grove St,72,Larkin St,Dr Carlton B Goodlett Pl \ Polk St,2019-08-30T16:51:31.000,Survey,Yes,Residential
28038000,32nd Ave: Marvel Ct Intersection,100,MARVEL CT,Intersection,2018-12-21T16:25:13.000,Treatment,No,
3422001,BUSH ST,93,TREASURY PL,MONTGOMERY ST,2015-10-21T00:16:48.000,Survey,Yes,
3422001,BUSH ST,86,TREASURY PL,MONTGOMERY ST,2015-10-21T00:16:48.000,Survey,Yes,
13521000,Webster St,63,Germania St,Waller St,2019-09-08T09:46:30.000,Survey,Yes,Arterial
3528000,California St,87,Sansome St,Leidesdorff St,2019-09-08T09:21:32.000,Survey,Yes,Arterial
3143000,Broadway,85,Davis St,Front St,2019-08-24T09:20:35.000,Survey,Yes,Arterial
11228000,Sacramento St,70,Kearny St,Grant Ave,2019-09-02T09:40:44.000,Survey,Yes,Collector
8472000,London St,99,Brazil Ave,Persia Ave,2018-06-06T13:44:46.000,Treatment,Yes,Residential
2805001,BAY SHORE BLVD,85,SILVER AVE,HWY 101 N OFF RAMP,2019-08-31T09:15:23.000,Survey,Yes,
2805002,BAY SHORE BLVD,85,HWY 101 N OFF RAMP,CARROLL AVE \ THORNTON AVE,2019-08-31T09:15:23.000,Survey,Yes,
1237000,23RD ST,46,INDIANA ST,IOWA ST,2008-10-29T13:59:27.000,Survey,No,
1238000,23RD ST,60,IOWA ST,PENNSYLVANIA AVE,2008-10-29T13:59:27.000,Survey,No,
1243000,23RD ST,68,WISCONSIN ST,END,2004-07-29T16:33:20.000,Survey,No,
1248000,23RD ST,50,KANSAS ST,VERMONT ST,2009-08-10T15:43:09.000,Survey,No,
1289000,24TH AVE,71,END,WEST CLAY ST,2008-10-29T13:59:27.000,Survey,No,
5587002,ARELIOUS WALKER DR,48,END,EGBERT AVE,2002-11-20T00:00:00.000,Survey,No,
22715000,Sargent St: Vernon St Intersection,100,VERNON ST,Intersection,2017-02-03T12:08:43.000,Treatment,No,
21374000,Baltimore Way: South Hill Blvd Intersection,100,SOUTH HILL BLVD,Intersection,2017-02-03T11:46:31.000,Treatment,No,
21385000,Rolph St: South Hill Blvd \ Winding Way Intersection,100,SOUTH HILL BLVD \ WINDING WAY,Intersection,2017-02-03T11:46:31.000,Treatment,No,
7368000,Jackson St,87,Columbus Ave,Kearny St,2019-10-05T09:30:14.000,Survey,Yes,Residential
3907000,Chase Ct,82,Colusa Pl,End,2019-08-30T16:51:26.000,Survey,Yes,Residential
7020000,Homewood Ct,100,Wildwood Way,End,2018-12-26T09:48:55.000,Treatment,Yes,Residential
50614000,Homewood Ct: End Intersection,100,END,Intersection,2018-12-26T09:48:55.000,Treatment,No,
3989000,Chicago Way,100,South Hill Blvd,Naylor St,2018-12-26T09:48:54.000,Treatment,Yes,Residential
21437000,Brunswick St: Newton St Intersection,100,NEWTON ST,Intersection,2017-02-03T12:08:42.000,Treatment,No,
5006000,Duncan St,60,Castro St,Newburg St,2019-08-30T16:51:28.000,Survey,Yes,Residential
21371000,Canyon Dr: South Hill Blvd Intersection,100,SOUTH HILL BLVD,Intersection,2017-02-03T12:08:42.000,Treatment,No,
3234001,BROOKDALE AVE,83,END,GENEVA AVE,2019-09-01T09:16:28.000,Survey,Yes,
21373000,South Hill Blvd: Toyon Ln Intersection,100,TOYON LN,Intersection,2017-02-03T11:46:31.000,Treatment,No,
21387000,Chicago Way: Cordova St Intersection,100,CORDOVA ST,Intersection,2017-02-03T12:08:42.000,Treatment,No,
21391000,Prague St: Rolph St Intersection,100,ROLPH ST,Intersection,2017-02-03T12:08:43.000,Treatment,No,
21366000,Lapham Way: Robinson Dr Intersection,100,ROBINSON DR,Intersection,2017-02-03T12:08:42.000,Treatment,No,
21383000,Chicago Way: Naylor St Intersection,100,NAYLOR ST,Intersection,2018-12-26T09:48:54.000,Treatment,No,
4133000,Clayton St,84,Waller St,Frederick St,2019-10-26T09:22:54.000,Survey,Yes,Arterial
10328000,Peninsula Ave,53,Lathrop Ave,End,2019-08-31T09:38:13.000,Survey,Yes,Residential
9547000,Newburg St,80,27th St \ Castro St,Duncan St,2019-08-30T16:51:34.000,Survey,Yes,Residential
8748101,Market St,62,05th St \ Cyril Magnin St,Mason St \ Turk St,2019-08-30T16:51:32.000,Survey,Yes,Arterial
808000,17th St,83,Pond St,Noe St,2019-08-30T08:03:27.000,Survey,Yes,Collector
11918000,Silver Ave,100,Boylston St \ Holyoke St,Somerset St,2018-07-10T15:27:45.000,Survey,Yes,Arterial
4551000,Cunningham Pl,47,Valencia St,End,2019-08-30T16:51:27.000,Survey,Yes,Residential
10509000,Pleasant St,79,Taylor St,Jones St,2019-10-06T09:39:00.000,Survey,Yes,Residential
7489000,Jennings St,48,Hollister Ave,Ingerson Ave,2019-10-12T09:30:47.000,Survey,Yes,Residential
3988000,Chicago Way,100,Lapham Way \ Linda Vista Stps,South Hill Blvd,2018-12-26T09:48:54.000,Treatment,Yes,Residential
9509000,Natoma St,80,New Montgomery St,End,2019-08-30T16:51:33.000,Survey,Yes,Residential
6671000,Harbor Rd,80,Northridge Rd,Ingalls St,2019-09-01T09:28:47.000,Survey,Yes,Residential
22659000,Homewood Ct: Wildwood Way Intersection,100,WILDWOOD WAY,Intersection,2018-12-26T09:48:55.000,Treatment,No,
10735000,Prague St,100,Naylor St,Cordova St,2018-12-26T09:48:55.000,Treatment,Yes,Residential
